Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
N-Acetylhistidine	C8H11N3O3	InChI=1S/C8H11N3O3/c1-5(12)11-7(8(13)14)2-6-3-9-4-10-6/h3-4,7H,2H2,1H3,(H,9,10)(H,11,12)(H,13,14)	KBOJOGQFRVVWBH-UHFFFAOYSA-N	CC(=O)NC(CC1=CNC=N1)C(O)=O	CHEBI:16437	C02997		HMDB32055;HMDB0032055				273260		240418	NA	NA	NA	NA
Phenylacetic acid	C8H8O2	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)	WLJVXDMOQOGPHL-UHFFFAOYSA-N	OC(=O)CC1=CC=CC=C1	CHEBI:30745	C07086		HMDB00209;HMDB0000209			Q410842	999		10181341	NA	NA	NA	NA
anthranilic acid	C7H7NO2	InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)	RWZYAGGXGHYGMB-UHFFFAOYSA-N	Nc1ccccc1C(O)=O	CHEBI:30754	C00108		HMDB0001123;HMDB01123			Q385140	227		222	NA	NA	NA	NA
S-adenosyl-L-homocysteine	C14H20N6O5S	InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1	ZJUKTBDSGOFHSH-WFMPWKQPSA-N	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)	CHEBI:16680;CHEBI:57856	C00021		HMDB00939;HMDB0000939			Q307434	439155		388301	NA	NA	NA	NA
Glutathione	C10H17N3O6S	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	RWSXRVCMGQZWBV-WDSKDSINSA-N	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	CHEBI:16856	C00051;C02471		HMDB0000125;HMDB00125			Q116907	124886		111188	NA	NA	NA	NA
Pyroglutamic acid	C5H7NO3	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	ODHCTXKNWHHXJC-VKHMYHEASA-N	OC(=O)[C@@H]1CCC(=O)N1	CHEBI:18183	C01879		HMDB0000267;HMDB00267			Q60998677	7405		7127	NA	NA	NA	NA
Gly-Pro	C7H12N2O3	InChI=1S/C7H12N2O3/c8-4-6(10)9-3-1-2-5(9)7(11)12/h5H,1-4,8H2,(H,11,12)/t5-/m0/s1	KZNQNBZMBZJQJO-YFKPBYRVSA-N	NCC(=O)N1CCC[C@H]1C(O)=O	CHEBI:70744			HMDB00721			Q27139057	3013625		2282246	NA	NA	NA	NA
Prolyl-Hydroxyproline	C10H16N2O4	InChI=1S/C10H16N2O4/c13-6-4-8(10(15)16)12(5-6)9(14)7-2-1-3-11-7/h6-8,11,13H,1-5H2,(H,15,16)	ONPXCLZMBSJLSP-UHFFFAOYSA-N	OC1CC(N(C1)C(=O)C1CCCN1)C(O)=O				HMDB0029018;HMDB29018				3952518			NA	NA	NA	NA
Phenyl-Alanyl-Alanine	C15H21N3O4	InChI=1S/C15H21N3O4/c1-9(13(19)18-10(2)15(21)22)17-14(20)12(16)8-11-6-4-3-5-7-11/h3-7,9-10,12H,8,16H2,1-2H3,(H,17,20)(H,18,19)(H,21,22)/t9-,10-,12-/m0/s1	BJEYSVHMGIJORT-NHCYSSNCSA-N	[H]N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O											NA	NA	NA	NA
Valyl-Asparagine	C9H17N3O4	InChI=1S/C9H17N3O4/c1-4(2)7(11)8(14)12-5(9(15)16)3-6(10)13/h4-5,7H,3,11H2,1-2H3,(H2,10,13)(H,12,14)(H,15,16)/t5-,7-/m0/s1	WITCOKQIPFWQQD-FSPLSTOPSA-N	[H]N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(O)=O	CHEBI:73698			HMDB29122			Q27143862	7020201		5383157	NA	NA	NA	NA
Valyl-Valine	C10H20N2O3	InChI=1S/C10H20N2O3/c1-5(2)7(11)9(13)12-8(6(3)4)10(14)15/h5-8H,11H2,1-4H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1	KRNYOVHEKOBTEF-YUMQZZPRSA-N	[H]N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(O)=O	CHEBI:73704			HMDB29140			Q27143934	107475		96710	NA	NA	NA	NA
Cyclo-Glycyl-Proline	C7H10N2O2	InChI=1S/C7H10N2O2/c10-6-4-8-7(11)5-2-1-3-9(5)6/h5H,1-4H2,(H,8,11)/t5-/m0/s1	OWOHLURDBZHNGG-YFKPBYRVSA-N	C1C[C@H]2C(=O)NCC(=O)N2C1							Q27095302	126154		112149	NA	NA	NA	NA
Isoleucyl-Glutamine	C11H21N3O4	InChI=1S/C11H21N3O4/c1-3-6(2)9(13)10(16)14-7(11(17)18)4-5-8(12)15/h6-7,9H,3-5,13H2,1-2H3,(H2,12,15)(H,14,16)(H,17,18)/t6-,7-,9-/m0/s1	CNPNWGHRMBQHBZ-ZKWXMUAHSA-N	[H]N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(O)=O	CHEBI:74065			HMDB28905			Q27144378	7020102		5383058	NA	NA	NA	NA
Valyl-Lysine	C11H23N3O3	InChI=1S/C11H23N3O3/c1-7(2)9(13)10(15)14-8(11(16)17)5-3-4-6-12/h7-9H,3-6,12-13H2,1-2H3,(H,14,15)(H,16,17)/t8-,9-/m0/s1	JKHXYJKMNSSFFL-IUCAKERBSA-N	[H]N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(O)=O	CHEBI:75014			HMDB29131			Q27145073	168058		147014	NA	NA	NA	NA
Arginyl-Methionine	C11H23N5O3S	InChI=1S/C11H23N5O3S/c1-20-6-4-8(10(18)19)16-9(17)7(12)3-2-5-15-11(13)14/h7-8H,2-6,12H2,1H3,(H,16,17)(H,18,19)(H4,13,14,15)/t7-,8-/m0/s1	ROWCTNFEMKOIFQ-YUMQZZPRSA-N	[H]N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCSC)C(O)=O	CHEBI:73817			HMDB28715			Q27144133	7019989		5382946	NA	NA	NA	NA
Phenyl-Alanyl-Aspartate	C16H21N3O6	InChI=1S/C16H21N3O6/c1-9(14(22)19-12(16(24)25)8-13(20)21)18-15(23)11(17)7-10-5-3-2-4-6-10/h2-6,9,11-12H,7-8,17H2,1H3,(H,18,23)(H,19,22)(H,20,21)(H,24,25)/t9-,11-,12-/m0/s1	LSXGADJXBDFXQU-DLOVCJGASA-N	[H]N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(O)=O	CHEBI:73627						Q27141942	71728363		29368053	NA	NA	NA	NA
Tryptophyl-Glutamate	C16H19N3O5	InChI=1S/C16H19N3O5/c17-11(7-9-8-18-12-4-2-1-3-10(9)12)15(22)19-13(16(23)24)5-6-14(20)21/h1-4,8,11,13,18H,5-7,17H2,(H,19,22)(H,20,21)(H,23,24)/t11-,13-/m0/s1	PWIQCLSQVQBOQV-AAEUAGOBSA-N	[H]N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEBI:74869			HMDB29082			Q27144978	7009663		5373243	NA	NA	NA	NA
Succinylcarnitine	C11H19NO6	InChI=1S/C11H19NO6/c1-12(2,3)7-8(6-10(15)16)18-11(17)5-4-9(13)14/h8H,4-7H2,1-3H3,(H-,13,14,15,16)	HAEVNYBCYZZDFL-UHFFFAOYSA-N	C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCC(O)=O	CHEBI:73034			HMDB61717	LMFA07070101		Q27140249	71464481		28639166	NA	NA	NA	NA
(10Z)-heptadecenoic acid	C17H32O2	InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h7-8H,2-6,9-16H2,1H3,(H,18,19)/b8-7-	GDTXICBNEOEPAZ-FPLPWBNLSA-N	CCCCCC\C=C/CCCCCCCCC(O)=O	CHEBI:75094			HMDB60038;HMDB0060038	LMFA01030283		Q27145121	5312435		4471860	NA	NA	NA	NA
Arachidonic acid	C20H32O2	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-	YZXBAPSDXZZRGB-DOFZRALJSA-N	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	CHEBI:15843	C00219		HMDB01043;HMDB60102;HMDB0060102;HMDB0001043	LMFA01030001		Q407699	444899		392692	NA	NA	NA	NA
Oleoyl ethanolamide	C20H39NO2	InChI=1S/C20H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h9-10,22H,2-8,11-19H2,1H3,(H,21,23)/b10-9-	BOWVQLFMWHZBEF-KTKRTIGZSA-N	CCCCCCCC\C=C/CCCCCCCC(=O)NCCO	CHEBI:71466			HMDB02088;HMDB0002088	LMFA08040015		Q7086404	5283454		4446574	NA	NA	NA	NA
Cholic acid	C24H40O5	InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1	BHQCQFFYRZLCQQ-OELDTZBJSA-N	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O	CHEBI:16359	C00695		HMDB00619;HMDB0000619	LMST04010001		Q287415	221493		192176	NA	NA	NA	NA
