Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
Diacetyl	C4H6O2	InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3	QSJXEFYPDANLFS-UHFFFAOYSA-N	CC(=O)C(C)=O	CHEBI:16583	C00741		HMDB03407;HMDB0003407	LMFA12000012		Q408916	650		630	NA	NA	NA	NA
Butyric acid	C4H8O2	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	FERIUCNNQQJTOY-UHFFFAOYSA-N	CCCC(O)=O	CHEBI:30772	C00246		HMDB0000039;HMDB00039	LMFA01010004		Q193213	264		259	NA	NA	NA	NA
Methylpyrazine	C5H6N2	InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H	CAWHJQAVHZEVTJ-UHFFFAOYSA-	CC1=CN=CC=N1											NA	NA	NA	NA
Succinic anhydride	C4H4O3	InChI=1S/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2	RINCXYDBBGOEEQ-UHFFFAOYSA-N	O=C1CCC(=O)O1	CHEBI:36595	C19524		HMDB0032523;HMDB32523			Q417847	7922		7634	NA	NA	NA	NA
Tiglic acid	C5H8O2	InChI=1S/C5H8O2/c1-3-4(2)5(6)7/h3H,1-2H3,(H,6,7)/b4-3+	UIERETOOQGIECD-ONEGZZNKSA-N	C\C=C(/C)C(O)=O	CHEBI:9592	C08279		HMDB01470;HMDB0001470	LMFA01020030		Q425475	125468		111629	NA	NA	NA	NA
2-oxobutanoic acid	C4H6O3	InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)	TYEYBOSBBBHJIV-UHFFFAOYSA-N	CCC(=O)C(O)=O	CHEBI:30831	C00109		HMDB0000005;HMDB00005	LMFA01060002		Q209457	58		57	NA	NA	NA	NA
gamma-Aminobutyric acid	C4H9NO2	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	BTCSSZJGUNDROE-UHFFFAOYSA-N	NCCCC(O)=O	CHEBI:16865;CHEBI:59888	C00334		HMDB0000112;HMDB00112	LMFA01100039		Q210021	119		116	NA	NA	NA	NA
4-Hydroxybutyric acid	C4H8O3	InChI=1S/C4H8O3/c5-3-1-2-4(6)7/h5H,1-3H2,(H,6,7)	SJZRECIVHVDYJC-UHFFFAOYSA-N	OCCCC(O)=O	CHEBI:30830	C00989;C01991		HMDB0000710;HMDB00710	LMFA01050006		Q207920	10413		9984	NA	NA	NA	NA
Uracil	C4H4N2O2	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	ISAKRJDGNUQOIC-UHFFFAOYSA-N	O=c1cc[nH]c(=O)[nH]1	CHEBI:17568	C00106		HMDB0000300;HMDB00300			Q182990	1174		1141	NA	NA	NA	NA
Pyrrole-2-carboxylic acid	C5H5NO2	InChI=1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3,6H,(H,7,8)	WRHZVMBBRYBTKZ-UHFFFAOYSA-N	OC(=O)c1ccc[nH]1	CHEBI:36751	C05942		HMDB0004230;HMDB04230			Q27104383	12473		11963	NA	NA	NA	NA
Histamine	C5H9N3	InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)	NTYJJOPFIAHURM-UHFFFAOYSA-N	NCCc1c[nH]cn1	CHEBI:18295	C00388		HMDB0000870;HMDB0060263;HMDB60263;HMDB00870				774		753	NA	NA	NA	NA
2-Furoic acid	C5H4O3	InChI=1S/C5H4O3/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)	SMNDYUVBFMFKNZ-UHFFFAOYSA-N	OC(=O)c1ccco1	CHEBI:30845	C01546		HMDB00617;HMDB0000617			Q2210953	6919		10251740	NA	NA	NA	NA
1-Pyrroline-2-carboxylic acid	C5H7NO2	InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-3H2,(H,7,8)	RHTAIKJZSXNELN-UHFFFAOYSA-N	OC(=O)C1=NCCC	CHEBI:36761;CHEBI:39785	C03564		HMDB06875;HMDB0006875			Q27093798	440046		389057	NA	NA	NA	NA
Norfuraneol	C5H6O3	InChI=1S/C5H6O3/c1-3-5(7)4(6)2-8-3/h7H,2H2,1H3	DLVYTANECMRFGX-UHFFFAOYSA-N	CC1=C(O)C(=O)CO1	CHEBI:74456			HMDB0031859;HMDB31859			Q27144683	4564493		3757733	NA	NA	NA	NA
Fumaric acid	C4H4O4	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(=O)\C=C\C(O)=O	CHEBI:18012	C00122		HMDB0000134;HMDB00134			Q139857	444972		10197150	NA	NA	NA	NA
L-Proline	C5H9NO2	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	ONIBWKKTOPOVIA-BYPYZUCNSA-N	OC(=O)[C@@H]1CCCN1	CHEBI:17203;CHEBI:60039	C00148		HMDB00162;HMDB0000162			Q20035886	145742		128566	NA	NA	NA	NA
L-Aspartic acid 4-semialdehyde	C4H7NO3	InChI=1S/C4H7NO3/c5-3(1-2-6)4(7)8/h2-3H,1,5H2,(H,7,8)/t3-/m0/s1	HOSWPDPVFBCLSY-VKHMYHEASA-N	[H]C(=O)C[C@H](N)C(O)=O	CHEBI:18051;CHEBI:537519	C00441		HMDB0012249;HMDB12249			Q61014522;Q74417377	439235		388372	NA	NA	NA	NA
3-methyl-2-oxobutanoic acid	C5H8O3	InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)	QHKABHOOEWYVLI-UHFFFAOYSA-N	CC(C)C(=O)C(O)=O	CHEBI:16530	C00141		HMDB00019;HMDB0000019	LMFA01020274		Q2823217	49		48	NA	NA	NA	NA
