Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
(25S)-delta(4)-dafachronic acid	C27H42O3																	
(25S)-delta(7)-dafachronic acid	C27H42O3																	
(25S)-delta1,7-DA	C27H40O3																	
(25S)-detla0-DA	C27H44O3																	
Carn(17:0)	C24H47NO4																	
Carn(18:0)	C25H49NO4																	
Carn(18:1)	C25H47NO4																	
Carn(19:0)	C26H51NO4																	
Carn(19:1)	C26H49NO4																	
Carn(20:0)	C27H53NO4																	
Carn(21:0)	C28H55NO4																	
CE(20:0)	C47H84O2																	
CE(22:0)	C49H88O2																	
Cer(d39:0)	C39H79NO3																	
Cer(d41:0)	C41H83NO3																	
Cer(d33:1)	C33H65NO3																	
Cer(d34:1)	C34H67NO3																	
Cer(d38:1)	C38H75NO3																	
Cer(d38:2)	C38H73NO3																	
Cer(d39:1)	C39H77NO3																	
Cer(d39:2)	C39H75NO3																	
Cer(d40:1)	C40H79NO3																	
Cer(d40:2)	C40H77NO3																	
Cer(d41:2)	C41H79NO3																	
Cer(d42:1)	C42H83NO3																	
Cer(d42:2)	C42H81NO3																	
Cer(d43:2)	C43H83NO3																	
Cer(d31:0)	C31H63NO3																	
Cer(d35:1)	C35H69NO3																	
Cer(d36:1)	C36H71NO3																	
Cer(d37:1)	C37H73NO3																	
Cer(d38:0)	C38H77NO3																	
Cer(d40:0)	C40H81NO3																	
Cer(d41:1)	C41H81NO3																	
Cer(d42:0)	C42H85NO3																	
Cer(d43:0)	C43H87NO3																	
Cer(d43:1)	C43H85NO3																	
Cer(t33:1)	C33H65NO4																	
Cer(t34:1)	C34H67NO4																	
Cer(t37:0)	C37H75NO4																	
Cer(t37:1)	C37H73NO4																	
Cer(t38:1)	C38H75NO4																	
Cer(t39:0)	C39H79NO4																	
Cer(t39:1)	C39H77NO4																	
Cer(t40:1)	C40H79NO4																	
Cer(t40:2)	C40H77NO4																	
Cer(t41:0)	C41H83NO4																	
Cer(t41:1)	C41H81NO4																	
Cer(t42:0)	C42H85NO4																	
Cer(t42:1)	C42H83NO4																	
Cer(t43:0)	C43H87NO4																	
Cer(t43:1)	C43H85NO4																	
Cer(t43:2)	C43H83NO4																	
Cer(t44:1)	C44H87NO4																	
CL(75:12)	C84H140O17P2																	
CL(70:2)	C79H150O17P2																	
CL(70:3)	C79H148O17P2																	
CL(74:2)	C83H156O17P2																	
CL(76:7)	C85H152O17P2																	
CL(78:9)	C87H152O17P2																	
CL(76:4)	C85H158O17P2																	
CL(76:6)	C85H154O17P2																	
CL(73:2)	C82H156O17P2																	
CL(75:6)	C84H152O17P2																	
CL(77:8)	C86H152O17P2																	
CL(77:4)	C86H160O17P2																	
CL(73:8)	C82H144O17P2																	
CL(75:9)	C84H146O17P2																	
CL(73:9)	C82H142O17P2																	
CL(75:10)	C84H144O17P2																	
CL(75:11)	C84H142O17P2																	
CL(77:11)	C86H146O17P2																	
CL(72:2)	C81H154O17P2																	
CL(73:3)	C82H154O17P2																	
CL(74:3)	C83H154O17P2																	
CL(76:9)	C85H148O17P2																	
CL(74:6)	C83H150O17P2																	
CL(80:12)	C89H150O17P2																	
CL(74:5)	C83H152O17P2																	
CL(74:8)	C83H146O17P2																	
CL(74:9)	C83H144O17P2																	
CL(74:10)	C83H142O17P2																	
CL(76:10)	C85H146O17P2																	
CL(80:7)	C89H160O17P2																	
CL(77:9)	C86H150O17P2																	
CL(80:10)	C89H154O17P2																	
CL(78:10)	C87H150O17P2																	
CL(78:11)	C87H148O17P2																	
CL(74:11)	C83H140O17P2																	
CL(76:11)	C85H144O17P2																	
CL(76:12)	C85H142O17P2																	
CL(76:13)	C85H140O17P2																	
CL(77:10)	C86H148O17P2																	
CL(77:14)	C86H140O17P2																	
CL(78:12)	C87H146O17P2																	
CL(78:13)	C87H144O17P2																	
CL(82:10)	C91H158O17P2																	
CL(85:12)	C94H160O17P2																	
CL(80:18)	C89H138O17P2																	
CL(79:14)	C88H144O17P2																	
CL(79:15)	C88H142O17P2																	
CL(79:16)	C88H140O17P2																	
CL(80:13)	C89H148O17P2																	
CL(82:15)	C91H148O17P2																	
CL(80:14)	C89H146O17P2																	
CL(82:16)	C91H146O17P2																	
CL(80:15)	C89H144O17P2																	
CL(80:16)	C89H142O17P2																	
CL(82:17)	C91H144O17P2																	
CL(80:17)	C89H140O17P2																	
CL(70:7)	C79H140O17P2																	
CL(70:8)	C79H138O17P2																	
CL(72:1)	C81H156O17P2																	
CL(72:4)	C81H150O17P2																	
CL(72:5)	C81H148O17P2																	
CL(74:12)	C83H138O17P2																	
CL(74:13)	C83H136O17P2																	
CL(74:7)	C83H148O17P2																	
CL(76:13)	C85H140O172																	
CL(76:14)	C85H138O17P2																	
CL(77:12)	C86H144O17P2																	
CL(77:15)	C86H138O17P2																	
CL(79:6)	C88H160O17P2																	
CL(81:10)	C90H156O17P2																	
CL(81:11)	C90H154O17P2																	
CL(86:16)	C95H154O17P2																	
DG(32:1)	C35H66O5																	
DG(32:2)	C35H64O5																	
DG(34:5)	C37H62O5																	
DG(31:1)	C34H64O5																	
DG(32:0)	C35H68O5																	
DG(33:2)	C36H66O5																	
DG(33:3)	C36H64O5																	
DG(33:4)	C36H62O5																	
DG(35:5)	C38H64O5																	
DG(35:6)	C38H62O5																	
DG(33:1)	C36H68O5																	
DG(34:1)	C37H70O5																	
DG(34:2)	C37H68O5																	
DG(34:4)	C37H64O5																	
DG(36:5)	C39H66O5																	
DG(34:3)	C37H66O5																	
DG(36:6)	C39H64O5																	
DG(34:0)	C37H72O5																	
DG(35:1)	C38H72O5																	
DG(37:5)	C40H68O5																	
DG(35:2)	C38H70O5																	
DG(35:3)	C38H68O5																	
DG(35:4)	C38H66O5																	
DG(37:6)	C40H66O5																	
DG(37:7)	C40H64O5																	
DG(36:0)	C39H76O5																	
DG(36:1)	C39H74O5																	
DG(36:2)	C39H72O5																	
DG(37:1)	C40H76O5																	
DG(38:3)	C41H74O5																	
DG(38:5)	C41H70O5																	
DG(36:3)	C39H70O5																	
DG(36:4)	C39H68O5																	
DG(37:2)	C40H74O5																	
DG(38:4)	C41H72O5																	
DG(38:6)	C41H68O5																	
DG(37:3)	C40H72O5																	
DG(37:4)	C40H70O5																	
DG(38:7)	C41H66O5																	
DG(40:2)	C43H80O5																	
DG(38:8)	C41H64O5																	
DG(38:9)	C41H62O5																	
DG(39:3)	C42H76O5																	
DG(39:4)	C42H74O5																	
DG(39:5)	C42H72O5																	
DG(39:6)	C42H70O5																	
DG(39:7)	C42H68O5																	
DG(39:10)	C42H62O5																	
DG(40:4)	C43H76O5																	
DG(40:5)	C43H74O5																	
DG(40:6)	C43H72O5																	
DG(40:7)	C43H70O5																	
DG(40:8)	C43H68O5																	
DG(40:9)	C43H66O5																	
DG(40:10)	C43H64O5																	
DG(41:5)	C44H76O5																	
DG(41:6)	C44H76O5																	
DG(42:5)	C45H78O5																	
DG(36:9)	C39H58O5																	
DG(47:5)	C50H88O5																	
DG(49:1)	C52H100O5																	
DG(53:2)	C56H106O5																	
DG(55:3)	C58H108O65																	
DG(58:6)	C61H108O5																	
DG(26:5)	C29H46O5																	
DG(28:4)	C31H52O5																	
DG(O-38:7)	C41H68O4																	
DMPE(32:1)	C39H74NO8P																	
DMPE(33:1)	C40H78NO8P																	
DMPE(34:1)	C41H80NO8P																	
DMPE(34:2)	C41H78NO8P																	
DMPE(35:1)	C42H82NO8P																	
DMPE(35:2)	C42H80NO8P																	
DMPE(35:3)	C42H78NO8P																	
DMPE(35:4)	C42H76NO8P																	
DMPE(36:0)	C43H86NO8P																	
DMPE(36:1)	C43H84NO8P																	
DMPE(36:2)	C43H82NO8P																	
DMPE(36:3)	C43H80NO8P																	
DMPE(36:4)	C43H78NO8P																	
DMPE(36:5)	C43H76NO8P																	
DMPE(36:6)	C43H74NO8P																	
DMPE(37:1)	C44H86NO8P																	
DMPE(37:2)	C44H84NO8P																	
DMPE(37:3)	C44H82NO8P																	
DMPE(37:4)	C44H80NO8P																	
DMPE(37:5)	C44H78NO8P																	
DMPE(37:6)	C44H76NO8P																	
DMPE(38:0)	C45H90NO8P																	
DMPE(38:1)	C45H88NO8P																	
DMPE(38:2)	C45H86NO8P																	
DMPE(38:3)	C45H84NO8P																	
DMPE(38:4)	C45H82NO8P																	
DMPE(38:5)	C45H80NO8P																	
DMPE(38:6)	C45H78NO8P																	
DMPE(38:7)	C45H76NO8P																	
DMPE(38:8)	C45H74NO8P																	
DMPE(39:3)	C46H86NO8P																	
DMPE(39:4)	C46H84NO8P																	
DMPE(39:5)	C46H82NO8P																	
DMPE(39:6)	C46H80NO8P																	
DMPE(40:10)	C47H74NO8P																	
DMPE(40:4)	C47H82NO8P																	
DMPE(40:5)	C47H84NO8P																	
DMPE(40:6)	C47H82NO8P																	
DMPE(40:7)	C47H80NO8P																	
DMPE(40:8)	C47H78NO8P																	
DMPE(40:9)	C47H76NO8P																	
FA(20:4)	C20H32O2																	
FA(20:5)	C20H30O2																	
Hex2Cer(d36:1)	C48H91NO13																	
Hex2Cer(t39:1)	C51H97NO14																	
HexCer(d39:1)	C45H85NO8																	
HexCer(d41:2)	C47H89NO8																	
HexCer(t39:1)	C45H87NO9																	
HexCer(d40:0)	C46H91NO8																	
HexCer(q40:0)	C46H91NO10																	
HexCer(q41:0)	C47H93NO10																	
HexCer(q42:0)	C48H95NO10																	
HexCer(q43:0)	C49H97NO10																	
HexCer(t38:1)	C44H85NO9																	
HexCer(t40:1)	C46H89NO9																	
HexCer(t41:1)	C47H91NO9																	
HexCer(t41:1)	C46H91NO9																	
HexCer(t42:1)	C48H93NO9																	
HexCer(t43:1)	C49H95NO9																	
LMar(14:0)	C26H48O12																	
LMar(15:0)	C27H50O12																	
LMar(16:0)	C28H52O12																	
LMar(16:1)	C28H50O12																	
LMar(17:0)	C29H54O12																	
LMar(17:1)	C29H52O12																	
LMar(18:0)	C30H56O12																	
LMar(18:1)	C30H54O12																	
LMar(18:2)	C30H52O12																	
LMar(18:3)	C30H50O12																	
LMar(19:0)	C31H58O12																	
LMar(19:1)	C31H56O12																	
LMar(20:0)	C32H60O12																	
LMar(20:1)	C32H58O12																	
LMar(20:2)	C32H56O12																	
LMar(20:3)	C32H54O12																	
LPC(14:0)	C22H46NO7P																	
LPC(15:0)	C23H48NO7P																	
LPC(15:1)	C23H46NO7P																	
LPC(16:0)	C24H50NO7P																	
LPC(16:1)	C24H48NO7P																	
LPC(16:2)	C24H46NO7P																	
LPC(17:0)	C25H52NO7P																	
LPC(17:1)	C25H50NO7P																	
LPC(17:2)	C25H48NO7P																	
LPC(18:0)	C26H54NO7P																	
LPC(18:1)	C26H52NO7P																	
LPC(18:2)	C26H50NO7P																	
LPC(18:3)	C26H48NO7P																	
