Name	Formula	InChI	InChIKey	SMILES	ChEBI	KEGG	BioCyc	HMDB	LipidMaps	SwissLipids	Wikidata	PubChem	Metabolights	ChemSpider	BiGG	MetaNetX	Reactome	SEED
diphenhydramine	C17H21NO	InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	CN(C)CCOC(c1ccccc1)c1ccccc1	CHEBI:4636	C06960		HMDB01927;HMDB0001927			Q413486	3100		2989	NA	NA	NA	NA
3-Phenylbutyric acid	C10H12O2	InChI=1S/C10H12O2/c1-8(7-10(11)12)9-5-3-2-4-6-9/h2-6,8H,7H2,1H3,(H,11,12)	ZZEWMYILWXCRHZ-UHFFFAOYSA-N	CC(CC(O)=O)C1=CC=CC=C1				HMDB01955;HMDB0001955			Q72501429	20724		19513	NA	NA	NA	NA
Coumarin	C9H6O2	InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	C=1C=CC=C2C1C=CC(=O)O2	CHEBI:28794	C05851		HMDB01218;HMDB0001218			Q111812	323		13848793	NA	NA	NA	NA
ebhi#48	C34H67NO7	InChI=1S/C34H67NO7/c1-27(41-34-32(39)26-31(38)29(3)42-34)22-20-18-16-14-12-10-8-6-4-5-7-9-11-13-15-17-19-21-23-30(37)28(2)33(40)35-24-25-36/h27-32,34,36-39H,4-26H2,1-3H3,(H,35,40)/t27-,28?,29+,30+,31-,32-,34-/m1/s1	ZXPXBYUQGJOEBE-WHYJCBQOSA-N	C[C@H](CCCCCCCCCCCCCCCCCCCC[C@H](O)C(C)C(=O)NCCO)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O											NA	NA	NA	NA
bhas#12	C12H22O7	InChI=1S/C12H22O7/c1-6(3-8(13)4-11(16)17)18-12-10(15)5-9(14)7(2)19-12/h6-10,12-15H,3-5H2,1-2H3,(H,16,17)/t6-,7+,8-,9-,10-,12-/m1/s1	ZWVCIFMJGVSXAP-BVTIPKRDSA-N	C[C@H](C[C@@H](O)CC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O											NA	NA	NA	NA
CDP	C9H15N3O11P2	InChI=1S/C9H15N3O11P2/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	ZWIADYZPOWUWEW-XVFCMESISA-N	Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1	CHEBI:17239	C00112		HMDB0001546;HMDB01546			Q416847	6132		5902	NA	NA	NA	NA
7-tetradecenoic acid	C14H26O2	InChI=1S/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h7-8H,2-6,9-13H2,1H3,(H,15,16)/b8-7+	ZVXDGKJSUPWREP-BQYQJAHWSA-N	[H]C(CCCCCC)=C([H])CCCCCC(O)=O											NA	NA	NA	NA
9-Hexadecenoylcarnitine	C23H43NO4	InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(24(2,3)4)19-20-22(25)26/h10-11,21H,5-9,12-20H2,1-4H3/b11-10-/t21-/m0/s1	ZVOMLLYYTWFWOA-XPTLAUCJSA-N	[C@H](CCC([O-])=O)([N+](C)(C)C)OC(CCCCCCC/C=C\CCCCCC)=O	CHEBI:88544			HMDB13207			Q27160434	53481653		30776700	NA	NA	NA	NA
1-Pyrroline	C4H7N	InChI=1S/C4H7N/c1-2-4-5-3-1/h3H,1-2,4H2	ZVJHJDDKYZXRJI-UHFFFAOYSA-N	C1CC=NC1	CHEBI:19092	C15668		HMDB60246;HMDB12497;HMDB0012497;HMDB0060246			Q161680	79803		72096	NA	NA	NA	NA
Aspartyl-Leucine	C10H18N2O5	InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,7-/m0/s1	ZVDPYSVOZFINEE-BQBZGAKWSA-N	CC(C)C[C@H](NC(=O)[C@@H](N)CC(O)=O)C(O)=O	CHEBI:68596			HMDB28757			Q27137034	6992367		5360507	NA	NA	NA	NA
